,n_Hz,Masse_kg,Tp_s,Perioden_p
0,2.7,0.2,14.34,10
1,4.3,0.2,7.91,5
2,5.0,0.2,7.8,5
3,6.0,0.2,9.56,5
4,7.7,0.2,12.47,5
5,8.45,0.2,13.41,5
6,9.95,0.2,15.33,5
7,11.15,0.2,17.09,5
8,12.9,0.2,11.97,3
9,14.5,0.2,8.99,2
